username,player_id,mens_rating,mens_rd,womens_rating,womens_rd
cbva_connorlogan,74762134-6b2f-4be0-94f9-648ca28a1ded,1504,125,1500,350
cbva_sergeyshvets,45e3a13c-8652-4d93-861c-0d63c9660f02,1562,68,1500,350
cbva_nmuttera,ebc50122-23d7-4a34-a043-c78ce10dc83b,1495,68,1500,350
cbva_zach,f9047132-3d3b-4b89-8fc8-da799c5753be,1537,68,1500,350
cbva_river,70a1b9f8-cf01-4afb-ac67-ec097b006f3c,1538,68,1500,350
cbva_daddy,22884f86-56ad-4cac-ad16-4790dd08ebcb,1498,68,1500,350
cbva_nevinthomas,165f5ce1-4446-420b-928a-4cae6aa4b98f,1570,68,1500,350
cbva_truant,4e26887f-6916-476c-accb-f398beff2876,1557,68,1500,350
cbva_zothunder,d7cce2bf-ca80-4636-9076-f18abebe7f81,1460,68,1500,350
cbva_ngbrendan,97f011f6-9316-4a6b-acab-7feeb878bc74,1501,176,1500,350
cbva_carlosneto,4b07b825-0666-4298-a7e8-208a71fc23cb,1415,154,1500,350
cbva_vanselow,bd0ba396-1209-4eb7-b8d9-10ff5b25a675,1387,110,1500,350
cbva_matatagordo,799b9d46-06ab-403d-85dd-14cf892693c6,1531,68,1500,350
cbva_gbradford,65144130-9911-4280-886b-d7908da4d3ad,1578,68,1500,350
cbva_joe,3b9b8ef5-9783-49a3-9b03-e3401a30cbea,1530,68,1500,350
cbva_highline,855a91ff-bb31-45ed-bba0-429e46c2d25a,1655,68,1500,350
cbva_henryelix,266aaf97-2b4c-469b-9e3d-5b8a6b7b9c36,1451,69,1500,350
cbva_benkuenzle,727e59d1-9a7b-4cab-95bb-be55a0fab058,1367,218,1500,350
cbva_zavala,8de6b9b4-de6d-4a67-ab3a-8e2207612af3,1451,69,1500,350
cbva_ezra,0dd42eb9-2667-4264-9a51-3d8a92f52297,1482,68,1500,350
cbva_gregoryguss,e654b3fd-5f8c-4678-8285-b001676ced6c,1596,101,1500,350
cbva_ianwguss,a2c3c749-694e-49ef-a3d4-4dee361b223d,1559,68,1500,350
cbva_samerslammer,f26191fa-67b5-4694-bd75-26b88e30b8ff,1482,147,1500,350
cbva_colinhughes,e1aea725-85e2-4848-9a1f-58749c55ae0b,1558,77,1500,350
cbva_mykolasp,919470ce-871f-48a7-9de5-456b575c4785,1494,68,1500,350
cbva_nolanhiga,429ba94f-c0f2-4e04-b1c1-dc086806c9ac,1372,154,1500,350
cbva_wmehring,64c356e8-cd4d-407a-ab66-62668980ff7b,1566,82,1500,350
cbva_dkjenstad,23cc5f82-9592-41e9-be4b-9f7df05e854b,1483,68,1500,350
cbva_tom,2a963f75-3616-425a-84bb-011cfdab9962,1516,72,1500,350
cbva_kyle,daa45055-8539-47d3-bd41-fd2ddcf68c90,1495,68,1500,350
cbva_cvonschl,055dd021-3c72-49a2-b29c-46dee84d2002,1412,121,1500,350
cbva_rvonschlobohm,a8973e1e-762c-45c6-ac0c-f1fd15329381,1586,69,1500,350
cbva_changibb,8ad04945-95ea-42cd-aff0-1d6a1a762352,1581,78,1500,350
cbva_arjthebarj,c2aefff3-e112-4a7e-8a79-a9698af0bf78,1519,68,1500,350
cbva_samueljames,f51a79ae-914b-4d2c-94bd-4916e6a3d2be,1598,68,1500,350
